ts,activity,id,tag
26.561625,5,11,s
26.571769,5,11,f
26.571769,6,11,s
26.693186,1,19,f
26.693186,1,20,s
26.789053,1,20,f
26.789053,1,21,s
27.114291,1,21,f
27.114291,1,22,s
28.033223,1,22,f
28.033223,1,23,s
28.502866,1,23,f
31.149235,2,12,f
31.149235,3,12,s
31.149235,2,13,s
31.149235,1,24,s
31.152336,3,12,f
31.152336,4,12,s
31.505049,2,13,f
31.505049,3,13,s
31.505049,2,14,s
31.607244,1,24,f
31.607244,1,25,s
31.719609,6,11,f
31.742264,4,12,f
31.742264,5,12,s
31.90092,2,14,f
31.90092,2,15,s
32.390962,5,12,f
32.390962,6,12,s
32.447909,2,15,f
32.447909,2,16,s
32.52369,6,12,f
32.689361,3,13,f
32.689361,4,13,s
32.689361,3,14,s
32.949757,2,16,f
32.949757,2,17,s
33.058347,1,25,f
33.058347,1,26,s
33.30423,4,13,f
33.30423,5,13,s
33.707657,3,14,f
33.707657,4,14,s
33.707657,3,15,s
33.847615,5,13,f
33.847615,6,13,s
34.169464,4,14,f
34.169464,5,14,s
34.782091,5,14,f
34.909326,2,17,f
34.909326,2,18,s
35.133951,2,18,f
35.133951,2,19,s
35.497231,3,15,f
35.497231,4,15,s
35.497231,3,16,s
35.508605,1,26,f
35.508605,1,27,s
35.7387,4,15,f
35.7387,5,15,s
35.751283,5,15,f
35.932762,2,19,f
35.932762,2,20,s
36.761767,6,13,f
36.761767,6,14,s
37.030147,1,27,f
37.030147,1,28,s
37.263582,2,20,f
37.263582,2,21,s
37.293902,2,21,f
37.293902,2,22,s
38.240607,3,16,f
38.240607,4,16,s
38.240607,3,17,s
38.554373,3,17,f
38.554373,3,18,s
38.574794,2,22,f
38.574794,2,23,s
38.805,4,16,f
38.805,5,16,s
38.805,4,17,s
39.203579,2,23,f
39.203579,2,24,s
39.329678,2,24,f
39.329678,2,25,s
39.337708,6,14,f
39.337708,6,15,s
39.442133,2,25,f
39.442133,2,26,s
39.781331,5,16,f
40.128599,3,18,f
40.128599,3,19,s
40.22646,6,15,f
40.22646,6,16,s
40.335578,3,19,f
40.335578,3,20,s
40.444811,6,16,f
40.582434,4,17,f
40.582434,5,17,s
40.582434,4,18,s
40.690257,4,18,f
40.690257,4,19,s
40.782165,3,20,f
40.782165,3,21,s
40.835745,2,26,f
40.835745,2,27,s
40.842175,5,17,f
40.842175,6,17,s
40.842175,5,18,s
40.852475,1,28,f
40.852475,1,29,s
40.89307,6,17,f
40.982716,3,21,f
40.982716,3,22,s
41.186452,2,27,f
41.186452,2,28,s
41.247555,4,19,f
41.247555,4,20,s
41.507817,2,28,f
41.67961,3,22,f
41.67961,3,23,s
41.734051,3,23,f
41.734051,3,24,s
41.878686,1,29,f
41.878686,1,30,s
41.878686,2,29,s
42.000147,3,24,f
42.000147,3,25,s
42.910495,4,20,f
42.910495,4,21,s
42.961395,5,18,f
42.961395,6,18,s
42.961395,5,19,s
43.579883,1,30,f
43.579883,1,31,s
43.619131,5,19,f
43.619131,5,20,s
43.773973,2,29,f
43.773973,2,30,s
43.873158,2,30,f
44.237188,4,21,f
44.237188,4,22,s
44.373759,5,20,f
44.373759,5,21,s
44.779198,4,22,f
44.779198,4,23,s
45.454103,3,25,f
45.454103,3,26,s
45.458339,1,31,f
45.458339,1,32,s
45.458339,2,31,s
45.583989,1,32,f
45.583989,1,33,s
45.705833,4,23,f
45.705833,4,24,s
45.737845,5,21,f
45.737845,5,22,s
45.894084,4,24,f
45.894084,4,25,s
46.157937,4,25,f
46.167922,2,31,f
46.167922,2,32,s
46.65668,5,22,f
46.65668,5,23,s
46.945079,2,32,f
46.950199,5,23,f
46.950199,5,24,s
47.343311,5,24,f
47.343311,5,25,s
47.466658,3,26,f
47.466658,4,26,s
47.466658,3,27,s
47.476615,4,26,f
47.647466,5,25,f
47.647466,5,26,s
47.663076,3,27,f
47.663076,4,27,s
47.663076,3,28,s
47.680392,5,26,f
47.883221,3,28,f
47.883221,3,29,s
48.320104,1,33,f
48.320104,1,34,s
48.320104,2,33,s
48.642679,1,34,f
48.642679,1,35,s
49.059853,6,18,f
49.059853,6,19,s
49.22737,1,35,f
49.22737,1,36,s
49.24596,2,33,f
49.24596,2,34,s
49.457419,4,27,f
49.457419,5,27,s
49.457419,4,28,s
49.564348,5,27,f
49.642366,2,34,f
49.642366,2,35,s
50.078917,6,19,f
50.078917,6,20,s
50.120574,1,36,f
50.120574,1,37,s
50.186911,2,35,f
50.186911,2,36,s
50.536288,1,37,f
50.536288,1,38,s
50.693514,1,38,f
50.693514,1,39,s
51.316913,2,36,f
51.316913,2,37,s
51.52122,6,20,f
51.52122,6,21,s
51.851489,6,21,f
51.851489,6,22,s
51.907493,3,29,f
51.907493,3,30,s
52.056092,6,22,f
52.056092,6,23,s
52.219976,2,37,f
52.219976,2,38,s
52.295054,2,38,f
52.320585,1,39,f
52.320585,1,40,s
52.320585,2,39,s
52.570039,3,30,f
52.570039,3,31,s
52.592199,4,28,f
52.592199,5,28,s
52.592199,4,29,s
52.623645,5,28,f
52.670037,1,40,f
52.670037,1,41,s
52.973071,6,23,f
52.973071,6,24,s
53.043285,3,31,f
53.043285,3,32,s
53.15896,3,32,f
53.15896,3,33,s
53.167753,3,33,f
53.167753,3,34,s
53.181274,3,34,f
53.181274,3,35,s
53.701264,4,29,f
53.701264,5,29,s
53.701264,4,30,s
53.713363,1,41,f
53.713363,1,42,s
53.818556,4,30,f
53.818556,4,31,s
53.831225,2,39,f
53.831225,2,40,s
53.97777,1,42,f
53.97777,1,43,s
54.220302,5,29,f
54.220302,5,30,s
54.339426,4,31,f
54.339426,4,32,s
54.62226,2,40,f
54.62226,2,41,s
54.794972,6,24,f
54.794972,6,25,s
54.829537,5,30,f
54.829537,5,31,s
55.04893,4,32,f
55.04893,4,33,s
55.880986,1,43,f
55.880986,1,44,s
55.908372,1,44,f
55.908372,1,45,s
55.945975,5,31,f
55.945975,5,32,s
56.115898,1,45,f
56.115898,1,46,s
56.12654,5,32,f
56.201529,6,25,f
56.201529,6,26,s
56.41523,1,46,f
56.41523,1,47,s
57.780208,4,33,f
57.780208,5,33,s
57.780208,4,34,s
57.826224,6,26,f
57.826224,6,27,s
57.844464,1,47,f
57.844464,1,48,s
58.152141,1,48,f
58.152141,1,49,s
58.225057,3,35,f
58.225057,3,36,s
58.25363,5,33,f
58.530536,3,36,f
58.530536,3,37,s
58.574104,1,49,f
59.014557,1,50,s
59.185838,4,34,f
59.185838,5,34,s
59.185838,4,35,s
59.301161,2,41,f
59.301161,2,42,s
59.450023,2,42,f
59.450023,2,43,s
59.482468,1,50,f
59.482468,1,51,s
59.507971,2,43,f
59.507971,2,44,s
59.563406,3,37,f
59.563406,3,38,s
59.80771,6,27,f
59.80771,6,28,s
60.14484,5,34,f
60.270801,3,38,f
60.270801,3,39,s
60.602362,2,44,f
60.602362,2,45,s
60.804108,1,51,f
60.804108,1,52,s
60.810073,4,35,f
60.810073,5,35,s
